filename,Macro Label,Micro Label,ZdA,Type_A_ZdA,Type_B_ZdA
Backdoor_0,Malware,Backdoor,False,False,False
Backdoor_2,Malware,Backdoor,False,False,False
Backdoor_4,Malware,Backdoor,False,False,False
Backdoor_6,Malware,Backdoor,False,False,False
Backdoor_9,Malware,Backdoor,False,False,False
Backdoor_11,Malware,Backdoor,False,False,False
Backdoor_12,Malware,Backdoor,False,False,False
Backdoor_13,Malware,Backdoor,False,False,False
Backdoor_14,Malware,Backdoor,False,False,False
Backdoor_15,Malware,Backdoor,False,False,False
Backdoor_16,Malware,Backdoor,False,False,False
Backdoor_17,Malware,Backdoor,False,False,False
Backdoor_18,Malware,Backdoor,False,False,False
Backdoor_19,Malware,Backdoor,False,False,False
Backdoor_20,Malware,Backdoor,False,False,False
Backdoor_21,Malware,Backdoor,False,False,False
Backdoor_22,Malware,Backdoor,False,False,False
Backdoor_23,Malware,Backdoor,False,False,False
Backdoor_24,Malware,Backdoor,False,False,False
Backdoor_25,Malware,Backdoor,False,False,False
Backdoor_26,Malware,Backdoor,False,False,False
Backdoor_27,Malware,Backdoor,False,False,False
Backdoor_28,Malware,Backdoor,False,False,False
Backdoor_31,Malware,Backdoor,False,False,False
Backdoor_32,Malware,Backdoor,False,False,False
Backdoor_33,Malware,Backdoor,False,False,False
Backdoor_34,Malware,Backdoor,False,False,False
Backdoor_35,Malware,Backdoor,False,False,False
Backdoor_36,Malware,Backdoor,False,False,False
Backdoor_37,Malware,Backdoor,False,False,False
Backdoor_38,Malware,Backdoor,False,False,False
Backdoor_39,Malware,Backdoor,False,False,False
Backdoor_41,Malware,Backdoor,False,False,False
Backdoor_42,Malware,Backdoor,False,False,False
Backdoor_44,Malware,Backdoor,False,False,False
Backdoor_45,Malware,Backdoor,False,False,False
Backdoor_46,Malware,Backdoor,False,False,False
Backdoor_47,Malware,Backdoor,False,False,False
Backdoor_49,Malware,Backdoor,False,False,False
Backdoor_52,Malware,Backdoor,False,False,False
Backdoor_53,Malware,Backdoor,False,False,False
Backdoor_57,Malware,Backdoor,False,False,False
Backdoor_59,Malware,Backdoor,False,False,False
Backdoor_61,Malware,Backdoor,False,False,False
Backdoor_62,Malware,Backdoor,False,False,False
Backdoor_63,Malware,Backdoor,False,False,False
Backdoor_65,Malware,Backdoor,False,False,False
Backdoor_68,Malware,Backdoor,False,False,False
Backdoor_69,Malware,Backdoor,False,False,False
Backdoor_71,Malware,Backdoor,False,False,False
Backdoor_72,Malware,Backdoor,False,False,False
Backdoor_73,Malware,Backdoor,False,False,False
Backdoor_74,Malware,Backdoor,False,False,False
Backdoor_75,Malware,Backdoor,False,False,False
Backdoor_76,Malware,Backdoor,False,False,False
Backdoor_78,Malware,Backdoor,False,False,False
Backdoor_80,Malware,Backdoor,False,False,False
Backdoor_81,Malware,Backdoor,False,False,False
Backdoor_82,Malware,Backdoor,False,False,False
Backdoor_83,Malware,Backdoor,False,False,False
Backdoor_84,Malware,Backdoor,False,False,False
Backdoor_86,Malware,Backdoor,False,False,False
Backdoor_87,Malware,Backdoor,False,False,False
Backdoor_88,Malware,Backdoor,False,False,False
Backdoor_89,Malware,Backdoor,False,False,False
Backdoor_90,Malware,Backdoor,False,False,False
Backdoor_91,Malware,Backdoor,False,False,False
Backdoor_92,Malware,Backdoor,False,False,False
Backdoor_93,Malware,Backdoor,False,False,False
Backdoor_94,Malware,Backdoor,False,False,False
Backdoor_95,Malware,Backdoor,False,False,False
Backdoor_97,Malware,Backdoor,False,False,False
Backdoor_100,Malware,Backdoor,False,False,False
Backdoor_102,Malware,Backdoor,False,False,False
Backdoor_103,Malware,Backdoor,False,False,False
Backdoor_104,Malware,Backdoor,False,False,False
Backdoor_105,Malware,Backdoor,False,False,False
Backdoor_106,Malware,Backdoor,False,False,False
Backdoor_107,Malware,Backdoor,False,False,False
Backdoor_108,Malware,Backdoor,False,False,False
Backdoor_109,Malware,Backdoor,False,False,False
Backdoor_110,Malware,Backdoor,False,False,False
Backdoor_112,Malware,Backdoor,False,False,False
Backdoor_113,Malware,Backdoor,False,False,False
Backdoor_114,Malware,Backdoor,False,False,False
Backdoor_115,Malware,Backdoor,False,False,False
Backdoor_116,Malware,Backdoor,False,False,False
Backdoor_118,Malware,Backdoor,False,False,False
Backdoor_119,Malware,Backdoor,False,False,False
Backdoor_120,Malware,Backdoor,False,False,False
Backdoor_121,Malware,Backdoor,False,False,False
Backdoor_122,Malware,Backdoor,False,False,False
Backdoor_124,Malware,Backdoor,False,False,False
Backdoor_125,Malware,Backdoor,False,False,False
Backdoor_127,Malware,Backdoor,False,False,False
Backdoor_129,Malware,Backdoor,False,False,False
Backdoor_130,Malware,Backdoor,False,False,False
Backdoor_133,Malware,Backdoor,False,False,False
Backdoor_136,Malware,Backdoor,False,False,False
Backdoor_138,Malware,Backdoor,False,False,False
Backdoor_139,Malware,Backdoor,False,False,False
Backdoor_140,Malware,Backdoor,False,False,False
Backdoor_141,Malware,Backdoor,False,False,False
Backdoor_143,Malware,Backdoor,False,False,False
Backdoor_144,Malware,Backdoor,False,False,False
Backdoor_145,Malware,Backdoor,False,False,False
Backdoor_146,Malware,Backdoor,False,False,False
Backdoor_147,Malware,Backdoor,False,False,False
Backdoor_148,Malware,Backdoor,False,False,False
Backdoor_149,Malware,Backdoor,False,False,False
Backdoor_150,Malware,Backdoor,False,False,False
Backdoor_151,Malware,Backdoor,False,False,False
Backdoor_152,Malware,Backdoor,False,False,False
Backdoor_153,Malware,Backdoor,False,False,False
Backdoor_154,Malware,Backdoor,False,False,False
Backdoor_156,Malware,Backdoor,False,False,False
Backdoor_158,Malware,Backdoor,False,False,False
Backdoor_159,Malware,Backdoor,False,False,False
Backdoor_160,Malware,Backdoor,False,False,False
Backdoor_161,Malware,Backdoor,False,False,False
Backdoor_162,Malware,Backdoor,False,False,False
Backdoor_163,Malware,Backdoor,False,False,False
Backdoor_166,Malware,Backdoor,False,False,False
Backdoor_167,Malware,Backdoor,False,False,False
Backdoor_168,Malware,Backdoor,False,False,False
Backdoor_169,Malware,Backdoor,False,False,False
Backdoor_170,Malware,Backdoor,False,False,False
Backdoor_171,Malware,Backdoor,False,False,False
Backdoor_174,Malware,Backdoor,False,False,False
Backdoor_175,Malware,Backdoor,False,False,False
Backdoor_176,Malware,Backdoor,False,False,False
Backdoor_178,Malware,Backdoor,False,False,False
Backdoor_179,Malware,Backdoor,False,False,False
Backdoor_180,Malware,Backdoor,False,False,False
Backdoor_181,Malware,Backdoor,False,False,False
Backdoor_182,Malware,Backdoor,False,False,False
Backdoor_183,Malware,Backdoor,False,False,False
Backdoor_184,Malware,Backdoor,False,False,False
Backdoor_186,Malware,Backdoor,False,False,False
Backdoor_187,Malware,Backdoor,False,False,False
Backdoor_188,Malware,Backdoor,False,False,False
Backdoor_191,Malware,Backdoor,False,False,False
Backdoor_192,Malware,Backdoor,False,False,False
Backdoor_193,Malware,Backdoor,False,False,False
Backdoor_194,Malware,Backdoor,False,False,False
Backdoor_195,Malware,Backdoor,False,False,False
Backdoor_196,Malware,Backdoor,False,False,False
Backdoor_197,Malware,Backdoor,False,False,False
Backdoor_198,Malware,Backdoor,False,False,False
Backdoor_199,Malware,Backdoor,False,False,False
Backdoor_201,Malware,Backdoor,False,False,False
Backdoor_203,Malware,Backdoor,False,False,False
Backdoor_205,Malware,Backdoor,False,False,False
Backdoor_206,Malware,Backdoor,False,False,False
Backdoor_207,Malware,Backdoor,False,False,False
Backdoor_208,Malware,Backdoor,False,False,False
Backdoor_209,Malware,Backdoor,False,False,False
Backdoor_210,Malware,Backdoor,False,False,False
Backdoor_213,Malware,Backdoor,False,False,False
Backdoor_214,Malware,Backdoor,False,False,False
Backdoor_215,Malware,Backdoor,False,False,False
Backdoor_217,Malware,Backdoor,False,False,False
Backdoor_218,Malware,Backdoor,False,False,False
Backdoor_219,Malware,Backdoor,False,False,False
Backdoor_220,Malware,Backdoor,False,False,False
Backdoor_221,Malware,Backdoor,False,False,False
Backdoor_222,Malware,Backdoor,False,False,False
Backdoor_223,Malware,Backdoor,False,False,False
Backdoor_224,Malware,Backdoor,False,False,False
Backdoor_225,Malware,Backdoor,False,False,False
Backdoor_226,Malware,Backdoor,False,False,False
Backdoor_229,Malware,Backdoor,False,False,False
Backdoor_230,Malware,Backdoor,False,False,False
Backdoor_232,Malware,Backdoor,False,False,False
Backdoor_234,Malware,Backdoor,False,False,False
Backdoor_235,Malware,Backdoor,False,False,False
Backdoor_237,Malware,Backdoor,False,False,False
Backdoor_238,Malware,Backdoor,False,False,False
Backdoor_239,Malware,Backdoor,False,False,False
Backdoor_240,Malware,Backdoor,False,False,False
Backdoor_241,Malware,Backdoor,False,False,False
Backdoor_244,Malware,Backdoor,False,False,False
Backdoor_245,Malware,Backdoor,False,False,False
Backdoor_246,Malware,Backdoor,False,False,False
Backdoor_247,Malware,Backdoor,False,False,False
Backdoor_248,Malware,Backdoor,False,False,False
Backdoor_249,Malware,Backdoor,False,False,False
Backdoor_251,Malware,Backdoor,False,False,False
Backdoor_252,Malware,Backdoor,False,False,False
Backdoor_253,Malware,Backdoor,False,False,False
Backdoor_254,Malware,Backdoor,False,False,False
Backdoor_255,Malware,Backdoor,False,False,False
Backdoor_256,Malware,Backdoor,False,False,False
Backdoor_257,Malware,Backdoor,False,False,False
Backdoor_258,Malware,Backdoor,False,False,False
Backdoor_260,Malware,Backdoor,False,False,False
Backdoor_261,Malware,Backdoor,False,False,False
Backdoor_262,Malware,Backdoor,False,False,False
Backdoor_265,Malware,Backdoor,False,False,False
Backdoor_266,Malware,Backdoor,False,False,False
Backdoor_269,Malware,Backdoor,False,False,False
Backdoor_270,Malware,Backdoor,False,False,False
Backdoor_271,Malware,Backdoor,False,False,False
Backdoor_272,Malware,Backdoor,False,False,False
Backdoor_273,Malware,Backdoor,False,False,False
Backdoor_274,Malware,Backdoor,False,False,False
Backdoor_275,Malware,Backdoor,False,False,False
Backdoor_276,Malware,Backdoor,False,False,False
Backdoor_277,Malware,Backdoor,False,False,False
Backdoor_278,Malware,Backdoor,False,False,False
Backdoor_279,Malware,Backdoor,False,False,False
Backdoor_280,Malware,Backdoor,False,False,False
Backdoor_281,Malware,Backdoor,False,False,False
Backdoor_282,Malware,Backdoor,False,False,False
Backdoor_283,Malware,Backdoor,False,False,False
Backdoor_284,Malware,Backdoor,False,False,False
Backdoor_285,Malware,Backdoor,False,False,False
Backdoor_287,Malware,Backdoor,False,False,False
Backdoor_289,Malware,Backdoor,False,False,False
Backdoor_290,Malware,Backdoor,False,False,False
Backdoor_291,Malware,Backdoor,False,False,False
Backdoor_292,Malware,Backdoor,False,False,False
Backdoor_293,Malware,Backdoor,False,False,False
Backdoor_294,Malware,Backdoor,False,False,False
Backdoor_295,Malware,Backdoor,False,False,False
Backdoor_296,Malware,Backdoor,False,False,False
Backdoor_297,Malware,Backdoor,False,False,False
Backdoor_298,Malware,Backdoor,False,False,False
Backdoor_299,Malware,Backdoor,False,False,False
Backdoor_300,Malware,Backdoor,False,False,False
Backdoor_301,Malware,Backdoor,False,False,False
Backdoor_303,Malware,Backdoor,False,False,False
Backdoor_304,Malware,Backdoor,False,False,False
Backdoor_305,Malware,Backdoor,False,False,False
Backdoor_308,Malware,Backdoor,False,False,False
Backdoor_309,Malware,Backdoor,False,False,False
Backdoor_311,Malware,Backdoor,False,False,False
Backdoor_312,Malware,Backdoor,False,False,False
Backdoor_313,Malware,Backdoor,False,False,False
Backdoor_314,Malware,Backdoor,False,False,False
Backdoor_315,Malware,Backdoor,False,False,False
Backdoor_316,Malware,Backdoor,False,False,False
Backdoor_317,Malware,Backdoor,False,False,False
Backdoor_318,Malware,Backdoor,False,False,False
Backdoor_319,Malware,Backdoor,False,False,False
Backdoor_321,Malware,Backdoor,False,False,False
Backdoor_322,Malware,Backdoor,False,False,False
Backdoor_324,Malware,Backdoor,False,False,False
Backdoor_326,Malware,Backdoor,False,False,False
Backdoor_327,Malware,Backdoor,False,False,False
Backdoor_328,Malware,Backdoor,False,False,False
Backdoor_329,Malware,Backdoor,False,False,False
Backdoor_330,Malware,Backdoor,False,False,False
Backdoor_331,Malware,Backdoor,False,False,False
Backdoor_333,Malware,Backdoor,False,False,False
Backdoor_334,Malware,Backdoor,False,False,False
Backdoor_335,Malware,Backdoor,False,False,False
Backdoor_338,Malware,Backdoor,False,False,False
Backdoor_339,Malware,Backdoor,False,False,False
Backdoor_340,Malware,Backdoor,False,False,False
Backdoor_341,Malware,Backdoor,False,False,False
Backdoor_342,Malware,Backdoor,False,False,False
Backdoor_343,Malware,Backdoor,False,False,False
Backdoor_344,Malware,Backdoor,False,False,False
Backdoor_345,Malware,Backdoor,False,False,False
Backdoor_347,Malware,Backdoor,False,False,False
Backdoor_349,Malware,Backdoor,False,False,False
Backdoor_350,Malware,Backdoor,False,False,False
Backdoor_351,Malware,Backdoor,False,False,False
Backdoor_352,Malware,Backdoor,False,False,False
Backdoor_353,Malware,Backdoor,False,False,False
Backdoor_354,Malware,Backdoor,False,False,False
Backdoor_355,Malware,Backdoor,False,False,False
Backdoor_356,Malware,Backdoor,False,False,False
Backdoor_357,Malware,Backdoor,False,False,False
Backdoor_358,Malware,Backdoor,False,False,False
Backdoor_359,Malware,Backdoor,False,False,False
Backdoor_362,Malware,Backdoor,False,False,False
Backdoor_366,Malware,Backdoor,False,False,False
Backdoor_367,Malware,Backdoor,False,False,False
Backdoor_369,Malware,Backdoor,False,False,False
Backdoor_370,Malware,Backdoor,False,False,False
Backdoor_372,Malware,Backdoor,False,False,False
Backdoor_373,Malware,Backdoor,False,False,False
Backdoor_374,Malware,Backdoor,False,False,False
Backdoor_375,Malware,Backdoor,False,False,False
Backdoor_377,Malware,Backdoor,False,False,False
Backdoor_378,Malware,Backdoor,False,False,False
Backdoor_379,Malware,Backdoor,False,False,False
Backdoor_380,Malware,Backdoor,False,False,False
Backdoor_381,Malware,Backdoor,False,False,False
Backdoor_383,Malware,Backdoor,False,False,False
Backdoor_384,Malware,Backdoor,False,False,False
Backdoor_386,Malware,Backdoor,False,False,False
Backdoor_387,Malware,Backdoor,False,False,False
Backdoor_389,Malware,Backdoor,False,False,False
Backdoor_390,Malware,Backdoor,False,False,False
Backdoor_391,Malware,Backdoor,False,False,False
Backdoor_392,Malware,Backdoor,False,False,False
Backdoor_393,Malware,Backdoor,False,False,False
Backdoor_395,Malware,Backdoor,False,False,False
Backdoor_397,Malware,Backdoor,False,False,False
Backdoor_398,Malware,Backdoor,False,False,False
Backdoor_400,Malware,Backdoor,False,False,False
Backdoor_401,Malware,Backdoor,False,False,False
Backdoor_402,Malware,Backdoor,False,False,False
Backdoor_403,Malware,Backdoor,False,False,False
Backdoor_404,Malware,Backdoor,False,False,False
Backdoor_405,Malware,Backdoor,False,False,False
Backdoor_407,Malware,Backdoor,False,False,False
Backdoor_408,Malware,Backdoor,False,False,False
Backdoor_410,Malware,Backdoor,False,False,False
Backdoor_411,Malware,Backdoor,False,False,False
Backdoor_412,Malware,Backdoor,False,False,False
Backdoor_413,Malware,Backdoor,False,False,False
Backdoor_414,Malware,Backdoor,False,False,False
Backdoor_415,Malware,Backdoor,False,False,False
Backdoor_419,Malware,Backdoor,False,False,False
Backdoor_420,Malware,Backdoor,False,False,False
Backdoor_421,Malware,Backdoor,False,False,False
Backdoor_422,Malware,Backdoor,False,False,False
Backdoor_423,Malware,Backdoor,False,False,False
Backdoor_424,Malware,Backdoor,False,False,False
Backdoor_425,Malware,Backdoor,False,False,False
Backdoor_427,Malware,Backdoor,False,False,False
Backdoor_428,Malware,Backdoor,False,False,False
Backdoor_429,Malware,Backdoor,False,False,False
Backdoor_430,Malware,Backdoor,False,False,False
Backdoor_431,Malware,Backdoor,False,False,False
Backdoor_434,Malware,Backdoor,False,False,False
Backdoor_435,Malware,Backdoor,False,False,False
Backdoor_436,Malware,Backdoor,False,False,False
Backdoor_437,Malware,Backdoor,False,False,False
Backdoor_438,Malware,Backdoor,False,False,False
Backdoor_439,Malware,Backdoor,False,False,False
Backdoor_440,Malware,Backdoor,False,False,False
Backdoor_441,Malware,Backdoor,False,False,False
Backdoor_442,Malware,Backdoor,False,False,False
Backdoor_443,Malware,Backdoor,False,False,False
Backdoor_444,Malware,Backdoor,False,False,False
Backdoor_445,Malware,Backdoor,False,False,False
Backdoor_446,Malware,Backdoor,False,False,False
Backdoor_447,Malware,Backdoor,False,False,False
Backdoor_448,Malware,Backdoor,False,False,False
Backdoor_450,Malware,Backdoor,False,False,False
Backdoor_451,Malware,Backdoor,False,False,False
Backdoor_452,Malware,Backdoor,False,False,False
Backdoor_454,Malware,Backdoor,False,False,False
Backdoor_455,Malware,Backdoor,False,False,False
Backdoor_457,Malware,Backdoor,False,False,False
Backdoor_458,Malware,Backdoor,False,False,False
Backdoor_459,Malware,Backdoor,False,False,False
Backdoor_460,Malware,Backdoor,False,False,False
Backdoor_461,Malware,Backdoor,False,False,False
Backdoor_462,Malware,Backdoor,False,False,False
Backdoor_463,Malware,Backdoor,False,False,False
Backdoor_464,Malware,Backdoor,False,False,False
Backdoor_465,Malware,Backdoor,False,False,False
Backdoor_466,Malware,Backdoor,False,False,False
Backdoor_467,Malware,Backdoor,False,False,False
Backdoor_468,Malware,Backdoor,False,False,False
Backdoor_470,Malware,Backdoor,False,False,False
Backdoor_471,Malware,Backdoor,False,False,False
Backdoor_472,Malware,Backdoor,False,False,False
Backdoor_475,Malware,Backdoor,False,False,False
Backdoor_476,Malware,Backdoor,False,False,False
Backdoor_477,Malware,Backdoor,False,False,False
Backdoor_480,Malware,Backdoor,False,False,False
Backdoor_482,Malware,Backdoor,False,False,False
Backdoor_483,Malware,Backdoor,False,False,False
Backdoor_484,Malware,Backdoor,False,False,False
Backdoor_485,Malware,Backdoor,False,False,False
Backdoor_486,Malware,Backdoor,False,False,False
Backdoor_487,Malware,Backdoor,False,False,False
Backdoor_488,Malware,Backdoor,False,False,False
Backdoor_489,Malware,Backdoor,False,False,False
Backdoor_490,Malware,Backdoor,False,False,False
Backdoor_491,Malware,Backdoor,False,False,False
Backdoor_492,Malware,Backdoor,False,False,False
Backdoor_493,Malware,Backdoor,False,False,False
Backdoor_494,Malware,Backdoor,False,False,False
Backdoor_495,Malware,Backdoor,False,False,False
Backdoor_497,Malware,Backdoor,False,False,False
Backdoor_498,Malware,Backdoor,False,False,False
